id,common_name,ra,dec,size,mag,type
Sh2-92.0,,296.663784,28.245479,50.0,,Nb
Sh2-110.0,,320.203588,32.457864,50.0,,Nb
Sh2-115.0,,308.64168,46.877934,50.0,,Nb
Sh2-206.0,,60.804482,51.329528,50.0,,Nb
Sh2-248.0,,94.161165,22.500255,50.0,,Nb
Sh2-278.0,,79.950965,-5.663628,50.0,,Nb
NGC 1647,,71.49999999999999,19.066666666666666,45.0,6.400000095367432,OC
NGC 2451,,116.35,-37.96666666666667,45.0,2.799999952316284,OC
NGC 2467,,118.14999999999999,-26.383333333333333,45.0,7.0,Nb
Sh2-36.0,,241.376397,0.394481,45.0,,Nb
Sh2-203.0,,50.504288,54.87779,45.0,,Nb
Sh2-261.0,,92.238344,15.801905,45.0,,Nb
NGC 1746,,75.89999999999999,23.816666666666666,42.0,6.0,OC
NGC 2546,,123.1,-37.63333333333333,41.0,6.300000190734863,OC
IC 4665,,266.575,5.716666666666667,41.0,4.199999809265137,OC
NGC 281,Pacman Nebula,13.2,56.61666666666667,40.0,7.0,Nb
NGC 2070,,84.64999999999999,-69.08333333333333,40.0,8.199999809265137,C+N
NGC 2175,,92.44999999999999,20.316666666666666,40.0,6.800000190734863,Nb
NGC 3293,,158.94999999999996,-58.233333333333334,40.0,4.699999809265137,C+N
NGC 5822,,226.29999999999995,-54.35,40.0,7.0,OC
NGC 6823,,295.775,23.3,40.0,7.099999904632568,Nb
Sh2-13.0,,262.619,-31.562676,40.0,,Nb
Sh2-28.0,,270.674025,-23.584187,40.0,,Nb
Sh2-29.0,,272.628815,-23.998547,40.0,,Nb
Sh2-79.0,,290.826825,13.976087,40.0,,Nb
Sh2-102.0,,307.946129,30.605153,40.0,,Nb
Sh2-122.0,,347.197052,14.92496,40.0,,Nb
Sh2-150.0,,337.799756,65.113988,40.0,,Nb
Sh2-162.0,,350.175546,61.197683,40.0,,Nb
Sh2-177.0,,7.887834,62.469078,40.0,,Nb
Sh2-204.0,,58.940228,57.428936,40.0,,Nb
Sh2-232.0,,85.61121,36.200769,40.0,,Nb
Sh2-280.0,,98.580563,2.539868,40.0,,Nb
NGC 1582,,67.99999999999999,43.85,37.0,7.0,OC
NGC 5139,,201.7,-47.483333333333334,36.29999923706055,3.700000047683716,Gb
NGC 3114,,150.67499999999998,-60.11666666666667,35.0,4.199999809265137,OC
Sh2-33.0,,239.96823,-1.617448,35.0,,Nb
Sh2-50.0,,276.376704,-14.711707,35.0,,Nb
Sh2-51.0,,280.194711,-16.558348,35.0,,Nb
Sh2-183.0,,13.499198,65.709768,35.0,,Nb
Sh2-251.0,,68.207621,5.862733,35.0,,Nb
Sh2-282.0,,99.495686,1.514355,35.0,,Nb
Sh2-308.0,,103.540528,-23.942122,35.0,,Nb
NGC 55,,3.7249999999999996,-39.18333333333333,32.400001525878906,8.0,Gx
IC 4725,,277.9,-19.25,32.0,4.599999904632568,OC
NGC 7092,,323.04999999999995,48.43333333333333,32.0,4.599999904632568,OC
NGC 6940,,308.65,28.3,31.0,6.300000190734863,OC
NGC 104,,6.0249999999999995,-72.08333333333333,30.899999618530273,4.0,Gb
NGC 869,Double Cluster (h Per),34.74999999999999,57.15,30.0,4.0,OC
NGC 884,Double Cluster (chi Per),35.599999999999994,57.11666666666667,30.0,4.0,OC
NGC 2232,,96.64999999999999,-4.75,30.0,3.9000000953674316,OC
NGC 2422,,114.14999999999999,-14.5,30.0,4.400000095367432,OC
NGC 2516,,119.57499999999999,-60.86666666666667,30.0,3.799999952316284,OC
NGC 2682,,132.6,11.816666666666666,30.0,6.900000095367432,OC
NGC 6152,,248.17499999999998,-52.61666666666667,30.0,8.0,OC
NGC 7380,Wizard Nebula,341.75,58.1,30.0,7.199999809265137,Nb
Sh2-15.0,,267.643312,-31.264091,30.0,,Nb
